时长分组,视频数,平均播放,平均点赞率,平均收藏率,平均投币率,平均评论率,平均互动总分
<5分钟,52,1263677.0,0.0794499039225509,0.00940702813570092,0.0028161302180832,0.0016826159839713444,0.10432860975572396
5-10分钟,15,1015802.0,0.050529572184599775,0.011269704806669157,0.0024633807723706174,0.0015693722510995603,0.07292422702859631
10-20分钟,16,1419003.0,0.06452474810311465,0.00940584597365766,0.013184973516082225,0.002722551033413727,0.11157685410025626
20-30分钟,8,642650.5,0.052553799933164294,0.011707515047910472,0.01377989987171891,0.0016732479044318865,0.10622795895016093
>30分钟,12,690355.5,0.04098307148796708,0.013300023663944345,0.01880998092403134,0.0026049526372308334,0.09951287153869111
