author_name,max(bilibili_videos.fans)
央视新闻,24048581
原神,20574929
老番茄,20470502
崩坏星穹铁道,12300326
逗比的雀巢,10953958
TF家族,8894745
盗月社食遇记,8411764
野兽先生MrBeast,7968509
哔哩哔哩国创,7588172
高斯Goh,5479896
