id,bvid,title,play,like,favorite,coin,reply,author_name,mid,fans,tname,tags,cover,duration,detail_url,点赞率,收藏率,投币率,评论率,互动总分
27,BV1YK7h6HE7Z,对话Lilwukong：被骂了三个月，我敢说 AI 才是音乐的未来,2089653,64723,12790,1197,1595,林慈丰AI,67969624,26884,,"科技猎手,悟空,说唱,学习,音乐,AI,可灵,TapNow,Lilwukong,mv",http://i2.hdslb.com/bfs/archive/b9fef9bf389318b264291f51ce04d807fe9b0478.jpg,555,https://www.bilibili.com/video/BV1YK7h6HE7Z,0.030973085005022365,0.00612063342574102,0.0005728223776866303,0.0007632846218965541,0.04206296452090371
28,BV1bmTM6ZEya,啥比桑吉尔夫排位练蓝防（最不抽象的一集）,1465143,127673,25780,32387,2104,89不玩抽象,1650023427,22417,,"音效,街霸六,勾石音效,轻松绷住,老桑,桑吉尔夫",http://i0.hdslb.com/bfs/archive/b8b0c9ce0aa9fc1f845d328a056c168342b36d1a.jpg,279,https://www.bilibili.com/video/BV1bmTM6ZEya,0.08714029961580542,0.01759555210651793,0.022105009545143377,0.0014360373014784223,0.15917968416734748
29,BV1F2jd6TE9P,【深度科普】为什么AI越聪明，你反而越不会工作了？,1726994,37119,10502,11403,365,GenJi是真想教会你,49746395,3339349,,"不用学的AI工具Tabbit,浏览器,AI,Tabbit,妙招,夸克,Agent,AI工具,打工人",http://i1.hdslb.com/bfs/archive/01bd91600914db555a7399376470e224b79a985f.jpg,793,https://www.bilibili.com/video/BV1F2jd6TE9P,0.021493415726979943,0.006081086558494124,0.006602802325891115,0.00021134989467247716,0.044032000111175834
30,BV1mBKU6AEES,“中国养猪场都用上空调了”！这是真的吗？【主播说三农】,716079,72428,3524,2521,4325,央视农业,1343321779,3903083,,"主播说三农,田间地头看变化,母猪,猪,养猪场,空调",http://i1.hdslb.com/bfs/archive/e5c5007e01e6ae7679d36d8ab6056a1026a8ae74.jpg,198,https://www.bilibili.com/video/BV1mBKU6AEES,0.10114526469844808,0.00492124472299844,0.003520561278853311,0.006039836386767382,0.12160809072741974
31,BV1XaTV6VE3e,鼠鼠的火腾龙，变成了爸妈的空调,484378,55114,6096,37186,1749,沉剑o,11113150,2346,,"必剪创作,鼠鼠文学,曼德尔砖,气象感应,火腾龙,三角洲,游戏回忆,现实与游戏",http://i1.hdslb.com/bfs/archive/b5a5b0d049129f6cdd732e26136c7b4072d3cca6.jpg,261,https://www.bilibili.com/video/BV1XaTV6VE3e,0.11378303721473725,0.012585212375458836,0.07677062129163587,0.003610816345911664,0.2898129147071089
32,BV1hhKD61EMJ,这集爆笑！瑞克自己和自己干……起来了！双倍腌黄瓜快乐！（瑞克和莫蒂·第九季第六集剧情）,724946,32824,4061,3593,1801,安迪视频,357261525,1720150,,"瑞克和莫蒂,动漫杂谈,安迪视频,瑞克和莫蒂第九季第六集,瑞克的头,瑞克与莫蒂,动画片,第九季第六集",http://i1.hdslb.com/bfs/archive/0240bb2db23666f140573aeaf6fb3389fc68f378.jpg,763,https://www.bilibili.com/video/BV1hhKD61EMJ,0.04527785517817879,0.005601796547604925,0.004956231222739349,0.0024843229702626126,0.06607733541532748
33,BV1nWTM65E5u,啊啊啊,2329082,170589,25966,6170,2705,Z贤者,499951416,2249083,,"声控游戏,搞笑,游戏,steam,沙雕",http://i1.hdslb.com/bfs/archive/6a7d61c5551cfbbe35489b2dcfc72971882967a8.jpg,106,https://www.bilibili.com/video/BV1nWTM65E5u,0.07324302021139659,0.011148598460681076,0.0026491123970731815,0.0011614017883440771,0.09642554448490864
34,BV1etKD6mEFz,都盲，盲点好啊,352771,40820,11508,18627,779,高斯Goh,3913194,5479896,,"今天你搞笑了吗,逗比,聚会,日常,搞笑,MECCHA CHAMELEON,变色龙躲猫猫,沙雕,抽象,小潮team",http://i2.hdslb.com/bfs/archive/b14f2ae35a0b52ee5e8b3a23bc27c2cb8d3de779.jpg,1533,https://www.bilibili.com/video/BV1etKD6mEFz,0.11571245935748686,0.03262172911038606,0.05280195934473072,0.002208231402241114,0.2724572031147685
35,BV1ZBKQ6fEpN,你是龙啊？你是虾子！！！！,412679,13667,3408,1038,330,失眠的老张,456318119,596357,,"独立游戏,多人联机,逆天,搞笑,躲猫猫,steam,MECCHA CHAMELEON,变色龙躲猫猫,游戏日常,涂鸦躲猫猫",http://i1.hdslb.com/bfs/archive/9ce86637a98217ccb2cfa19ef8a82fbbed5bf88c.jpg,1166,https://www.bilibili.com/video/BV1ZBKQ6fEpN,0.03311775011570737,0.008258234608497162,0.0025152721606866353,0.0007996529990622251,0.051335299348888606
36,BV1B7KD6sESB,《五十六个民族，五十六只噶》终极典藏版,210960,35060,12448,13918,1110,皮蛋瘦肉粥煎鸡蛋,3706988932368570,985,,"变装视频,民族,民族服饰,典藏版,咕咕嘎嘎",http://i0.hdslb.com/bfs/archive/7cb09f92ca9a3aa75f94fba2e4ab2329fcee0da4.jpg,251,https://www.bilibili.com/video/BV1B7KD6sESB,0.1661926431551005,0.0590064467197573,0.06597459233978005,0.0052616609783845275,0.3919131588926811
37,BV15fKU6UEZp,极端热浪席卷欧洲多国，热一热百姓让领导先凉快？,1197773,72318,8411,8331,6583,麻薯波比呀,703186600,3390735,,"社会观察局,欧洲高温,欧洲热浪,欧洲环保,欧洲空调,空调,欧洲天气",http://i0.hdslb.com/bfs/archive/72383d80ad7a03118c1870d522ea9026da5b760b.jpg,992,https://www.bilibili.com/video/BV15fKU6UEZp,0.06037704974147856,0.007022198697082001,0.006955408078158382,0.005496033054677305,0.09031719699809564
38,BV1k37s6XE2C,【乘风2026】总决赛-《想见你想见你想见你》张月&陈瑶 愿所有想念都能在我们的歌声里靠岸,1624825,53129,26023,43459,83620,张月ZhangYue,1854329029,36135,,"一起来看乘风2026,陈瑶,音乐,舞台现场,张月",http://i1.hdslb.com/bfs/archive/bae90bb1d97429bb4248bd1aa04daf872c3ab63f.jpg,277,https://www.bilibili.com/video/BV1k37s6XE2C,0.03269829058513994,0.016015878633083562,0.02674688043327743,0.05146400381579555,0.1616798732171157
39,BV1oQTT6KEb7,致敬！中国首批缉毒警已全体退休,1570391,301976,36537,115572,5402,央视新闻,456664753,24048581,,"禁毒,缉毒警",http://i1.hdslb.com/bfs/archive/541a2bc5d2c809499f64fa7057033297857ea5e2.jpg,1154,https://www.bilibili.com/video/BV1oQTT6KEb7,0.19229351161589694,0.023266180206076067,0.0735944105639933,0.0034399076408359445,0.3778215106938336
40,BV1VXT56UENV,铁罐轴承珠融合，最后会出什么花纹？,598840,47794,3499,3785,1621,余铁匠打铁日常,414367068,340722,,"寻找100位非遗手艺人,手工,生活记录,原创,现场,刀,非遗,刀剑,记录,创作灵感",http://i0.hdslb.com/bfs/archive/a9b505cca41afc3679e28d2e9020ec45f4309984.jpg,737,https://www.bilibili.com/video/BV1VXT56UENV,0.07981096787121769,0.005842963061919711,0.00632055306926725,0.0027069000066795804,0.10392341860931134
41,BV1wzTT6LE49,我把队友的7连跪剪成了艺术,2154288,108764,10391,5020,2110,小艾Ain,20110331,150619,,"王者荣耀UP主激励计划,王者荣耀,爱马tv,我的峡谷小剧场,王者荣耀六月创作激励活动,巅峰赛",http://i1.hdslb.com/bfs/archive/44c4a9ec3185b7079deb0f1b264555cbc1e9e3d5.jpg,133,https://www.bilibili.com/video/BV1wzTT6LE49,0.05048721433717312,0.004823403370394302,0.002330236254391242,0.0009794419316265976,0.06336223383317365
42,BV1zzKQ6FEK3,要多少气球才能让房子飘起来！？答案是...🤩 #挑战# #野兽先生# #MrBeast# #vlog# #整活#,2452991,177372,9136,3370,2348,野兽先生MrBeast,1027737427,7968509,,"MrBeast是谁,小视频",http://i1.hdslb.com/bfs/archive/2739bfaf06d805ccc5061bfd48340197de78c56c.jpg,22,https://www.bilibili.com/video/BV1zzKQ6FEK3,0.07230845934616148,0.0037244327435363603,0.0013738330063175935,0.0009571987830367091,0.08159997325713791
43,BV1K7KS6iEB7,《赛博朋克：边缘行者 2》｜官方预告片,1054297,73441,18127,19880,9784,CD_PROJEKT,271442527,1112895,,"动画,新番,赛博朋克2077,动漫,游戏,二次元,赛博朋克边缘行者2,赛博朋克边缘行者",http://i0.hdslb.com/bfs/archive/e61e9d1ffd144eeee2ece312e98ec16082d758ba.jpg,91,https://www.bilibili.com/video/BV1K7KS6iEB7,0.06965873942541807,0.017193447387216315,0.018856166715830548,0.009280117462157247,0.1424413614000609
44,BV1DP7K61ECY,你这一辈子有没有为进山姆拼过命？,2554795,202133,18621,3312,5549,菜包豆本豆,377763688,25055,,"搞笑小剧场,人类模仿ai,山姆,豆包,ai,精神状态",http://i1.hdslb.com/bfs/archive/748ffaf9545eb1c2ce28a7076b534f9394747f62.jpg,65,https://www.bilibili.com/video/BV1DP7K61ECY,0.07911906826183705,0.007288647425723003,0.00129638581569167,0.0021719942304568468,0.09481680526226174
45,BV1uB7V6iEqm,复古未来主义沙画「夜泳」,673795,72729,12909,3924,788,Raven沙画,16754336,25212,,"画师百日创作挑战,绘画过程,绘画,美术,沙画,手绘,原创,设计,艺术,复古未来主义",http://i0.hdslb.com/bfs/archive/35cb6a4a972865afa79bc2bfdefb4eee8d00eb68.jpg,159,https://www.bilibili.com/video/BV1uB7V6iEqm,0.10793935841019894,0.019158646175765626,0.00582372976944026,0.00116949517286415,0.14949428238559206
46,BV13o7W6PEcJ,《我落泪情绪零碎》,1242804,49080,15568,38726,21376,王濛,1527390033,844280,,乘风2026,http://i0.hdslb.com/bfs/archive/73675cb0057635f372ad660ee6593b72a884b674.jpg,293,https://www.bilibili.com/video/BV13o7W6PEcJ,0.039491343767802486,0.012526512627896273,0.031160182941155645,0.017199815900174123,0.1378012944921323
47,BV1v47s6kEzf,多功能求生吊坠 第四轮迭代汇报,747197,56448,9726,972,892,一诺求生录,1859189432,1630221,,"一起做手工吧！,求生,创意,测评,手工,种草,玩具,生存狂,吊坠,配饰",http://i2.hdslb.com/bfs/archive/5078d9ad235191e5804c3c659e224e3e39842e72.jpg,186,https://www.bilibili.com/video/BV1v47s6kEzf,0.07554634186165095,0.01301664755077978,0.001300861753995265,0.001193794942966848,0.09886683163877799
